Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Glass,Metal,Paper,Plastic,Airfryer,Grill,Microwave,Oven,Stove,WasteScore
normal,female,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,164,very frequently,69,medium,5,0,45,11,Sometimes,2692,0,0,0,0,1,1,1,0,1,10
underweight,male,vegan,less frequently,natural gas,private,diesel,never,58,never,9198,small,4,5,33,23,No,3238,0,0,1,1,0,0,1,0,1,4
obese,male,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,283,very frequently,77,medium,7,13,33,5,No,3847,1,1,0,0,1,1,0,1,1,14
normal,male,omnivore,daily,wood,private,petrol,never,128,very frequently,7723,large,4,23,3,0,Sometimes,5279,1,0,0,1,1,1,1,1,1,12
normal,female,omnivore,twice a day,natural gas,private,petrol,never,71,frequently,3227,medium,7,16,47,23,No,3122,0,0,1,1,1,1,0,0,0,14
obese,female,omnivore,more frequently,wood,private,lpg,never,213,very frequently,8526,extra large,6,10,23,16,Sometimes,5516,1,1,1,0,0,0,1,0,1,24
obese,female,vegan,twice a day,electricity,private,petrol,never,140,frequently,7363,large,6,0,20,7,Sometimes,4480,0,1,1,0,1,1,0,0,1,18
obese,male,omnivore,twice a day,wood,public,,often,255,very frequently,1298,large,5,5,22,9,No,3765,1,0,1,1,0,0,1,1,1,15
overweight,male,vegan,more frequently,natural gas,walk/bicycle,,sometimes,139,rarely,17,extra large,3,3,23,9,No,1454,1,1,1,1,1,1,1,1,0,12
underweight,female,vegetarian,daily,wood,walk/bicycle,,sometimes,135,never,68,large,1,21,6,17,Sometimes,705,0,1,0,1,1,1,0,1,0,3
obese,male,vegan,less frequently,electricity,private,diesel,often,176,rarely,5794,small,2,6,18,16,Yes,2969,0,0,0,0,0,0,1,1,1,2
underweight,female,vegan,less frequently,coal,walk/bicycle,,often,145,frequently,24,small,7,1,7,23,Sometimes,1631,1,1,0,1,1,1,0,1,1,7
normal,female,vegan,more frequently,electricity,public,,often,94,rarely,692,small,7,14,27,18,No,1263,0,0,1,1,1,1,0,1,1,7
normal,female,vegetarian,more frequently,wood,private,petrol,often,280,very frequently,1126,small,3,20,47,21,Yes,2803,1,1,1,0,1,1,1,1,1,3
overweight,male,vegetarian,more frequently,coal,walk/bicycle,,often,142,never,11,medium,7,5,10,0,Yes,1382,1,1,1,0,1,1,1,0,1,14
normal,female,pescatarian,less frequently,electricity,public,,never,271,rarely,1593,medium,7,20,28,21,Sometimes,1522,0,1,0,0,0,0,0,1,1,14
overweight,female,omnivore,twice a day,coal,walk/bicycle,,never,141,frequently,14,medium,2,13,26,3,No,1786,1,1,1,0,0,0,1,1,0,4
obese,female,omnivore,twice a day,wood,public,,sometimes,134,rarely,1523,large,6,0,16,6,Sometimes,1644,1,0,1,1,0,0,0,0,0,18
normal,male,omnivore,daily,electricity,public,,sometimes,215,never,341,large,3,11,12,4,Sometimes,936,1,0,1,1,0,0,0,1,1,9
underweight,male,vegan,less frequently,coal,private,petrol,often,69,never,11,large,6,22,3,1,Sometimes,1270,1,1,0,0,0,0,1,0,0,18
underweight,male,pescatarian,more frequently,coal,private,petrol,sometimes,130,frequently,1616,small,2,6,11,14,Yes,2143,1,1,0,0,0,0,1,0,1,2
underweight,female,pescatarian,twice a day,wood,private,diesel,sometimes,207,rarely,570,small,5,16,18,20,Yes,1265,0,1,0,1,1,1,0,1,0,5
normal,male,pescatarian,twice a day,natural gas,walk/bicycle,,often,257,rarely,19,medium,5,5,18,13,Sometimes,1401,1,1,1,1,1,1,1,0,0,10
normal,female,pescatarian,less frequently,wood,walk/bicycle,,often,234,very frequently,50,small,5,15,8,6,Yes,2025,0,1,0,0,0,0,0,0,1,5
obese,female,vegan,daily,wood,walk/bicycle,,often,247,rarely,93,extra large,5,11,35,24,Yes,2307,0,0,1,0,0,0,0,1,0,20
obese,female,pescatarian,twice a day,wood,walk/bicycle,,often,170,never,60,small,5,23,48,4,No,1820,0,1,0,1,1,1,1,1,1,5
underweight,male,pescatarian,more frequently,electricity,private,hybrid,often,212,rarely,3160,large,2,9,16,3,No,1688,1,0,0,1,0,0,0,1,1,6
normal,male,vegetarian,more frequently,wood,walk/bicycle,,sometimes,278,very frequently,78,medium,5,9,34,11,Sometimes,2708,1,1,0,1,1,1,0,1,0,10
underweight,female,omnivore,daily,wood,private,diesel,often,141,frequently,7321,medium,6,12,12,15,Yes,2817,1,1,1,1,1,1,1,0,0,12
normal,female,vegan,more frequently,wood,public,,sometimes,111,rarely,201,extra large,6,23,14,12,Sometimes,1765,1,0,0,0,1,1,1,1,1,24
normal,female,vegan,twice a day,coal,private,hybrid,sometimes,251,rarely,4273,large,4,17,40,2,No,2386,0,0,1,1,0,0,1,0,1,12
underweight,female,pescatarian,daily,natural gas,walk/bicycle,,sometimes,95,never,40,medium,5,22,39,18,Sometimes,1376,1,0,0,0,0,0,1,1,0,10
normal,male,vegetarian,twice a day,natural gas,walk/bicycle,,never,182,never,28,medium,2,13,9,17,Sometimes,849,1,1,0,0,0,0,1,0,0,4
underweight,female,vegan,daily,natural gas,private,petrol,often,263,rarely,5844,extra large,6,15,40,19,Yes,3866,1,0,0,1,1,1,1,1,0,24
overweight,female,vegetarian,more frequently,wood,walk/bicycle,,never,225,never,13,extra large,3,21,16,11,Sometimes,1241,0,0,1,0,0,0,0,0,1,12
normal,male,pescatarian,daily,natural gas,private,lpg,never,293,very frequently,9280,large,2,21,37,8,Sometimes,5238,1,0,0,1,0,0,1,0,0,6
obese,female,vegan,less frequently,coal,private,electric,sometimes,105,very frequently,5917,large,6,6,47,4,Yes,3328,1,1,0,1,0,0,0,1,1,18
normal,female,omnivore,twice a day,natural gas,private,diesel,never,134,rarely,3498,extra large,1,21,14,14,Yes,1697,1,0,1,1,0,0,1,1,1,4
overweight,male,omnivore,less frequently,natural gas,public,,never,211,very frequently,817,small,4,17,34,15,Sometimes,3379,0,0,0,0,1,1,0,0,1,4
normal,female,vegan,less frequently,electricity,public,,often,165,rarely,667,medium,5,0,7,18,Yes,928,1,0,1,0,1,1,0,0,0,10
obese,female,omnivore,less frequently,electricity,public,,often,260,rarely,727,large,7,6,18,15,No,2194,0,0,1,0,0,0,1,1,1,21
overweight,female,pescatarian,more frequently,wood,walk/bicycle,,never,191,frequently,77,extra large,2,5,35,20,No,2107,0,1,0,1,1,1,0,0,1,8
obese,male,vegetarian,more frequently,natural gas,public,,sometimes,82,frequently,4,medium,7,13,40,16,Sometimes,3151,0,0,0,0,0,0,0,1,1,14
obese,male,pescatarian,daily,electricity,public,,never,156,very frequently,183,large,1,10,11,4,Yes,2304,0,0,0,0,1,1,1,0,0,3
normal,male,vegetarian,twice a day,electricity,private,hybrid,often,61,frequently,4023,extra large,5,16,35,6,No,2904,1,0,0,0,1,1,0,1,0,20
normal,female,omnivore,more frequently,electricity,public,,sometimes,175,rarely,1815,large,1,2,21,11,No,1043,0,1,1,0,0,0,0,1,0,3
obese,male,vegetarian,twice a day,wood,walk/bicycle,,often,268,frequently,81,small,5,14,24,10,Yes,2015,1,1,1,0,0,0,1,0,0,5
overweight,female,vegan,more frequently,electricity,public,,sometimes,113,very frequently,1104,small,2,5,24,4,No,2061,1,0,0,1,0,0,1,0,0,2
normal,female,vegetarian,twice a day,coal,walk/bicycle,,often,58,very frequently,93,large,2,18,50,4,No,2592,0,0,0,0,0,0,1,0,0,6
underweight,male,vegetarian,twice a day,electricity,private,lpg,never,240,never,7657,large,4,2,27,9,Yes,3038,1,1,0,0,1,1,0,0,1,12
normal,female,pescatarian,more frequently,electricity,walk/bicycle,,often,68,frequently,53,large,1,13,38,14,Sometimes,1452,1,0,1,1,0,0,1,1,1,3
normal,male,pescatarian,less frequently,coal,walk/bicycle,,never,223,never,87,small,5,15,4,18,Sometimes,1131,1,1,0,0,0,0,0,1,0,5
underweight,female,vegan,more frequently,electricity,public,,sometimes,168,very frequently,520,large,5,12,2,11,Yes,1671,1,1,1,1,0,0,1,0,1,15
underweight,female,pescatarian,daily,electricity,public,,sometimes,111,rarely,494,large,2,17,12,12,Yes,843,0,1,0,1,1,1,1,1,0,6
overweight,male,pescatarian,less frequently,wood,private,petrol,often,257,rarely,8406,medium,4,4,5,6,Sometimes,4761,1,0,0,0,1,1,0,0,0,8
obese,female,vegan,daily,natural gas,private,diesel,never,159,rarely,4130,extra large,4,12,19,0,Yes,2808,0,0,0,0,0,0,1,0,0,16
obese,male,vegan,less frequently,coal,private,electric,never,218,never,4004,medium,4,18,17,18,No,1674,0,1,0,1,0,0,0,1,1,8
overweight,male,pescatarian,daily,natural gas,private,electric,never,109,frequently,7726,small,3,2,42,5,Yes,2006,1,0,0,1,0,0,0,1,1,3
underweight,male,vegan,twice a day,electricity,walk/bicycle,,sometimes,236,very frequently,15,medium,2,1,37,1,Yes,2209,0,0,1,0,1,1,1,0,1,4
overweight,male,pescatarian,more frequently,natural gas,public,,sometimes,165,rarely,190,extra large,3,5,35,15,Yes,2157,0,0,0,0,0,0,1,1,0,12
obese,female,vegetarian,daily,wood,private,petrol,sometimes,231,never,9324,small,7,6,23,5,Yes,4456,0,1,1,1,1,1,0,1,1,7
underweight,male,vegetarian,more frequently,electricity,public,,often,234,frequently,1047,small,3,23,27,6,Sometimes,1486,1,1,1,0,1,1,1,0,1,3
normal,male,omnivore,more frequently,electricity,public,,sometimes,166,rarely,1188,medium,3,18,41,12,Yes,1801,1,0,0,0,1,1,0,1,0,6
obese,female,vegan,less frequently,wood,private,diesel,never,239,very frequently,6317,small,2,24,46,9,Sometimes,4423,0,0,1,1,0,0,0,0,0,2
normal,female,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,288,frequently,87,large,5,1,15,24,Yes,1979,0,0,1,0,0,0,1,1,1,15
obese,male,pescatarian,twice a day,coal,public,,never,225,frequently,383,extra large,6,5,5,18,Yes,2989,0,1,0,0,0,0,1,0,1,24
underweight,male,vegetarian,twice a day,coal,walk/bicycle,,often,162,frequently,9,small,4,15,36,22,Yes,2305,0,1,0,0,1,1,0,1,0,4
obese,female,omnivore,less frequently,coal,private,hybrid,often,101,frequently,159,large,3,23,19,2,No,2155,1,0,1,1,1,1,1,0,1,9
obese,male,vegan,daily,natural gas,private,diesel,often,59,never,1272,medium,5,16,4,11,No,1731,0,1,0,0,0,0,1,0,0,10
underweight,female,vegetarian,daily,wood,walk/bicycle,,sometimes,226,very frequently,16,large,5,15,44,20,No,2747,0,0,0,1,1,1,0,0,1,15
obese,male,omnivore,more frequently,wood,private,electric,sometimes,226,never,1123,large,2,16,8,11,Yes,1395,1,1,0,0,0,0,1,0,1,6
underweight,female,vegetarian,more frequently,coal,public,,never,264,frequently,1000,extra large,4,13,12,5,Yes,1932,1,0,0,0,0,0,0,1,0,16
normal,female,omnivore,less frequently,electricity,private,hybrid,sometimes,280,rarely,1444,medium,5,12,10,9,No,1454,0,1,0,0,1,1,0,1,1,10
obese,male,pescatarian,twice a day,wood,public,,often,205,never,1973,extra large,4,1,33,15,No,2073,1,1,1,1,0,0,1,0,1,16
obese,male,vegetarian,twice a day,natural gas,public,,sometimes,161,rarely,687,extra large,7,10,27,20,No,2568,1,1,0,1,0,0,0,0,1,28
obese,female,vegan,less frequently,wood,walk/bicycle,,often,295,very frequently,71,small,5,0,8,12,Sometimes,2670,0,0,0,1,0,0,1,1,1,5
overweight,male,vegetarian,more frequently,wood,private,hybrid,never,195,very frequently,1702,medium,7,9,29,4,Sometimes,3289,1,0,0,0,1,1,1,1,0,14
overweight,male,vegan,daily,coal,walk/bicycle,,sometimes,215,very frequently,68,small,4,15,43,21,No,3331,0,1,1,0,0,0,0,0,1,4
normal,female,omnivore,less frequently,coal,public,,often,253,frequently,840,large,5,7,30,1,No,2218,0,1,0,1,0,0,1,1,0,15
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,never,85,never,86,large,6,20,17,11,Sometimes,1545,0,0,0,0,1,1,0,1,1,18
underweight,male,pescatarian,twice a day,natural gas,public,,never,145,never,80,small,4,19,34,16,No,1241,0,1,0,1,0,0,0,0,0,4
obese,male,pescatarian,twice a day,wood,walk/bicycle,,often,136,never,38,medium,6,24,36,22,No,2545,0,0,0,0,0,0,1,1,1,12
normal,female,pescatarian,twice a day,electricity,private,lpg,never,177,rarely,6906,large,4,4,26,20,No,3046,0,0,1,0,0,0,1,1,1,12
obese,female,vegetarian,twice a day,electricity,public,,sometimes,122,frequently,761,small,6,23,1,20,Yes,1476,0,0,1,0,1,1,0,0,1,6
underweight,male,pescatarian,more frequently,electricity,public,,never,162,rarely,282,medium,5,2,25,18,Yes,1104,1,1,0,1,0,0,0,1,1,10
obese,male,pescatarian,twice a day,natural gas,public,,often,183,frequently,450,medium,3,22,24,21,No,2712,0,0,1,1,1,1,0,1,1,6
underweight,male,pescatarian,less frequently,electricity,public,,never,118,never,959,medium,3,3,30,3,Sometimes,848,0,0,1,1,0,0,1,0,0,6
overweight,female,pescatarian,twice a day,coal,public,,often,266,very frequently,528,extra large,2,14,9,15,No,2820,1,1,0,0,1,1,1,0,0,8
underweight,female,pescatarian,daily,natural gas,public,,never,213,frequently,62,medium,7,7,26,4,No,1610,0,1,1,0,0,0,1,0,1,14
underweight,female,vegetarian,more frequently,wood,private,diesel,never,291,very frequently,9446,large,3,1,21,18,Sometimes,4042,1,0,1,0,1,1,0,0,0,9
normal,male,vegan,daily,wood,public,,sometimes,141,very frequently,731,medium,3,2,17,9,Yes,2276,1,0,0,1,1,1,1,0,0,6
underweight,female,omnivore,daily,coal,private,diesel,never,254,frequently,4244,extra large,1,20,31,3,No,2894,0,0,0,1,0,0,0,1,1,4
underweight,male,vegan,daily,wood,walk/bicycle,,never,115,rarely,19,small,5,19,17,24,No,1351,0,0,0,0,0,0,0,0,0,5
underweight,female,vegetarian,daily,electricity,public,,often,287,frequently,1140,large,6,20,47,7,Sometimes,2018,0,1,0,1,1,1,1,1,0,18
normal,female,pescatarian,daily,coal,private,diesel,never,266,very frequently,2466,small,7,12,9,3,No,2631,1,1,1,0,1,1,0,0,1,7
overweight,male,vegan,daily,natural gas,walk/bicycle,,sometimes,254,never,86,large,1,8,30,5,Sometimes,1238,0,1,0,1,0,0,1,0,0,3
obese,female,pescatarian,more frequently,electricity,private,petrol,never,289,never,2388,large,3,22,39,2,No,2362,1,0,0,1,1,1,0,0,1,9
obese,female,vegetarian,less frequently,wood,public,,sometimes,271,frequently,216,large,5,11,49,3,No,2448,0,1,0,1,0,0,0,0,0,15
normal,male,pescatarian,less frequently,coal,public,,never,244,frequently,441,small,7,21,38,16,Yes,2262,0,1,0,1,0,0,0,0,0,7
normal,female,vegan,more frequently,electricity,public,,never,243,frequently,1398,medium,1,22,28,23,Sometimes,1509,0,1,0,1,0,0,1,1,1,2
obese,male,pescatarian,less frequently,electricity,public,,sometimes,108,rarely,564,large,2,7,14,20,Yes,1336,0,0,1,0,1,1,0,0,0,6
obese,female,vegan,more frequently,wood,walk/bicycle,,never,287,frequently,82,extra large,7,21,20,8,Yes,2474,1,0,1,0,1,1,1,1,0,28
underweight,female,pescatarian,less frequently,wood,walk/bicycle,,sometimes,130,very frequently,89,large,4,10,33,23,Sometimes,2545,0,0,0,0,1,1,0,1,1,12
overweight,male,omnivore,less frequently,wood,private,lpg,never,139,very frequently,3400,small,6,10,0,23,Yes,3731,1,0,0,1,0,0,1,1,1,6
normal,male,vegan,twice a day,coal,private,diesel,sometimes,276,rarely,2451,small,7,20,14,3,Yes,2055,0,0,1,1,0,0,0,0,0,7
obese,male,pescatarian,twice a day,wood,private,electric,sometimes,112,very frequently,9197,medium,5,24,46,2,No,3270,1,1,1,1,1,1,1,0,0,10
underweight,male,vegetarian,daily,natural gas,private,diesel,never,80,rarely,3316,large,6,14,11,23,No,2458,1,0,0,1,1,1,0,0,1,18
obese,male,vegetarian,twice a day,electricity,public,,often,172,never,1802,large,1,12,9,12,Sometimes,863,0,1,1,1,0,0,1,0,1,3
obese,male,omnivore,daily,electricity,public,,never,76,never,74,small,5,24,37,11,Sometimes,1087,0,1,1,1,0,0,0,1,1,5
overweight,male,vegan,daily,electricity,walk/bicycle,,never,113,rarely,71,extra large,6,9,35,7,Sometimes,1710,0,1,1,1,0,0,1,0,1,24
obese,male,pescatarian,more frequently,coal,walk/bicycle,,never,129,frequently,95,extra large,5,20,28,12,Sometimes,3043,0,1,1,1,0,0,1,0,1,20
obese,male,vegan,twice a day,electricity,public,,often,296,never,729,medium,6,14,31,24,No,2032,0,1,0,0,1,1,0,1,1,12
obese,male,vegetarian,more frequently,wood,public,,sometimes,112,frequently,1713,extra large,1,5,42,20,No,2668,1,1,0,1,0,0,1,0,0,4
obese,male,omnivore,twice a day,electricity,walk/bicycle,,never,197,never,44,small,3,16,37,12,Yes,1616,0,0,0,1,0,0,1,1,1,3
normal,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,139,never,56,small,4,15,18,0,Sometimes,1042,0,1,0,1,0,0,0,0,1,4
obese,female,vegetarian,daily,natural gas,public,,often,212,never,1506,large,4,1,44,15,Sometimes,1946,0,0,1,1,1,1,0,0,0,12
obese,male,pescatarian,daily,wood,walk/bicycle,,often,293,frequently,75,large,3,0,9,8,No,2422,0,0,1,0,1,1,1,0,0,9
obese,female,omnivore,less frequently,electricity,private,lpg,sometimes,267,frequently,6807,large,6,11,46,17,Sometimes,4709,0,1,0,1,1,1,1,0,1,18
normal,female,pescatarian,daily,electricity,private,lpg,sometimes,105,very frequently,7460,extra large,6,18,30,19,No,4264,0,1,0,0,1,1,1,1,0,24
underweight,female,vegan,more frequently,wood,private,electric,often,297,very frequently,5108,medium,3,5,0,23,Yes,1975,0,1,0,1,0,0,1,1,1,6
normal,female,vegan,less frequently,electricity,public,,never,277,very frequently,1243,small,4,22,34,0,No,2151,0,1,0,0,1,1,0,1,0,4
obese,female,vegan,less frequently,coal,public,,never,275,never,840,large,6,16,0,12,Sometimes,1319,1,1,1,0,1,1,0,0,0,18
underweight,male,vegetarian,less frequently,electricity,private,lpg,never,293,never,1452,extra large,4,6,18,24,No,1619,1,1,0,0,1,1,0,1,1,16
obese,female,omnivore,more frequently,electricity,private,diesel,never,69,very frequently,5013,large,3,9,36,7,No,3961,1,0,0,0,0,0,1,1,0,9
normal,male,omnivore,daily,electricity,private,hybrid,sometimes,53,very frequently,2392,medium,4,10,34,2,No,2929,1,1,0,0,0,0,1,1,0,8
underweight,female,omnivore,daily,wood,walk/bicycle,,often,261,rarely,70,large,4,24,38,6,Yes,1451,1,1,1,1,0,0,1,0,0,12
overweight,female,vegan,twice a day,electricity,private,hybrid,sometimes,102,never,3364,small,1,20,16,17,Sometimes,1037,1,1,1,1,1,1,1,0,0,1
obese,male,omnivore,daily,coal,private,petrol,never,159,never,6372,small,1,22,4,19,Yes,3737,0,1,1,1,0,0,1,0,0,1
underweight,female,pescatarian,twice a day,electricity,public,,never,210,frequently,1212,extra large,5,0,2,1,Yes,1423,0,0,1,1,1,1,1,0,0,20
normal,male,omnivore,twice a day,natural gas,public,,sometimes,153,never,958,medium,7,4,26,1,Yes,1293,1,1,1,0,0,0,1,1,0,14
underweight,female,vegan,more frequently,wood,walk/bicycle,,sometimes,248,very frequently,13,medium,6,4,6,5,Yes,1890,1,0,0,1,1,1,1,0,1,12
obese,female,vegan,daily,coal,private,hybrid,often,240,very frequently,4354,extra large,1,16,44,1,Sometimes,3766,0,0,0,0,0,0,0,0,0,4
normal,female,omnivore,less frequently,natural gas,walk/bicycle,,never,106,frequently,40,small,3,5,31,23,Sometimes,1390,1,1,1,1,0,0,0,1,1,3
normal,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,141,never,83,extra large,6,8,10,16,No,1260,0,1,1,0,1,1,0,0,1,24
obese,female,vegetarian,more frequently,natural gas,public,,never,207,frequently,293,medium,5,19,7,16,No,1886,1,1,0,0,0,0,1,1,1,10
underweight,male,omnivore,twice a day,electricity,walk/bicycle,,sometimes,99,frequently,83,small,5,0,21,16,Yes,1440,1,0,1,0,1,1,0,0,1,5
underweight,female,vegan,less frequently,wood,walk/bicycle,,often,161,rarely,26,extra large,4,24,32,21,Sometimes,1542,0,0,1,1,1,1,0,1,0,16
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,133,frequently,2000,medium,7,19,33,0,No,1944,1,1,0,1,1,1,1,0,1,14
normal,male,pescatarian,more frequently,coal,private,diesel,often,270,never,4242,medium,5,17,9,23,Sometimes,2859,1,0,0,1,1,1,1,0,1,10
normal,female,vegan,less frequently,natural gas,public,,sometimes,63,never,784,small,5,5,17,10,Sometimes,862,1,1,0,0,1,1,1,0,1,5
underweight,male,pescatarian,less frequently,wood,private,electric,never,101,very frequently,1015,small,7,17,16,23,No,2506,1,0,0,1,0,0,0,1,1,7
normal,female,vegetarian,less frequently,wood,walk/bicycle,,often,186,very frequently,11,large,5,1,0,18,Sometimes,1964,1,1,1,1,1,1,0,1,0,15
underweight,male,vegetarian,daily,wood,walk/bicycle,,often,226,frequently,48,large,5,4,2,23,No,2154,0,0,0,1,1,1,1,1,1,15
overweight,female,vegetarian,less frequently,coal,public,,often,72,rarely,971,small,1,13,3,8,No,1211,1,0,0,1,1,1,0,1,0,1
normal,female,vegan,daily,electricity,walk/bicycle,,never,100,frequently,0,extra large,5,15,2,0,No,1413,0,1,0,0,1,1,1,1,1,20
overweight,male,vegan,less frequently,natural gas,walk/bicycle,,often,276,never,9,extra large,3,16,25,18,Sometimes,1836,1,0,0,0,1,1,1,0,0,12
overweight,female,omnivore,less frequently,coal,public,,often,184,never,1863,small,4,4,37,5,No,1615,0,1,0,0,0,0,1,0,0,4
underweight,female,omnivore,twice a day,coal,walk/bicycle,,never,97,never,96,small,6,14,49,12,No,1556,0,0,0,0,0,0,0,0,0,6
underweight,male,pescatarian,more frequently,wood,private,lpg,never,194,never,5437,large,1,10,23,11,Yes,2608,1,0,0,1,1,1,1,1,0,3
underweight,female,pescatarian,daily,natural gas,public,,often,217,rarely,1759,medium,5,7,48,17,Sometimes,1764,1,0,0,0,1,1,0,0,1,10
normal,female,vegan,more frequently,wood,private,lpg,never,283,frequently,5891,small,2,19,11,6,Yes,2538,0,1,1,0,0,0,0,0,1,2
overweight,male,vegetarian,daily,coal,walk/bicycle,,never,71,never,14,large,2,20,19,7,Sometimes,1182,0,1,1,0,1,1,1,1,1,6
underweight,male,vegan,more frequently,electricity,public,,never,165,frequently,1745,extra large,3,1,40,0,No,1715,0,1,1,1,0,0,1,0,0,12
normal,male,vegan,twice a day,natural gas,public,,sometimes,272,frequently,102,small,4,21,18,7,Yes,1548,1,1,0,1,0,0,1,0,1,4
obese,female,omnivore,less frequently,natural gas,public,,never,70,frequently,1456,large,6,0,22,13,No,2249,1,0,0,1,0,0,1,1,0,18
obese,female,omnivore,twice a day,coal,private,diesel,often,192,rarely,9487,small,7,24,18,9,Yes,4261,1,0,1,0,1,1,0,1,0,7
underweight,female,omnivore,daily,natural gas,public,,often,80,never,1572,medium,7,14,9,22,Yes,1214,1,0,1,0,1,1,1,0,0,14
underweight,female,omnivore,more frequently,natural gas,walk/bicycle,,often,63,rarely,49,medium,4,9,48,7,Sometimes,1371,1,1,1,0,0,0,1,0,1,8
obese,female,omnivore,more frequently,coal,private,petrol,often,134,very frequently,5737,extra large,4,11,4,24,Sometimes,5565,0,0,0,0,1,1,0,0,0,16
underweight,male,omnivore,more frequently,electricity,private,hybrid,sometimes,168,rarely,6770,extra large,5,16,2,24,Yes,2459,0,0,1,1,0,0,0,0,0,20
underweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,sometimes,95,never,7,small,6,9,36,11,No,1072,0,0,1,1,0,0,0,0,1,6
obese,male,pescatarian,twice a day,coal,private,diesel,often,284,never,9523,extra large,2,11,35,3,Yes,4822,0,1,0,1,0,0,0,1,1,8
underweight,male,omnivore,more frequently,wood,private,petrol,often,282,rarely,5131,small,4,14,6,24,Sometimes,3153,1,1,1,1,0,0,1,1,1,4
underweight,male,vegetarian,less frequently,coal,walk/bicycle,,sometimes,272,rarely,68,small,6,23,0,8,Yes,1059,1,1,1,0,0,0,1,1,0,6
obese,male,pescatarian,more frequently,wood,walk/bicycle,,never,173,very frequently,86,large,5,5,40,11,Yes,3703,0,0,1,0,0,0,0,1,1,15
obese,female,omnivore,twice a day,wood,public,,often,242,frequently,1257,medium,2,4,1,23,Yes,1886,1,0,1,0,0,0,1,1,1,4
underweight,female,vegetarian,more frequently,natural gas,private,electric,often,248,rarely,6685,large,7,6,10,10,No,1372,1,1,1,1,0,0,1,1,1,21
underweight,male,omnivore,more frequently,natural gas,walk/bicycle,,never,152,rarely,24,small,3,21,20,0,No,1218,0,0,1,0,0,0,0,0,1,3
normal,female,omnivore,more frequently,coal,private,lpg,never,241,never,58,small,3,12,22,19,No,1372,1,0,1,0,0,0,0,1,0,3
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,sometimes,77,never,1,large,3,2,26,19,Sometimes,1325,0,0,0,1,0,0,0,0,1,9
underweight,male,vegetarian,daily,coal,public,,often,82,frequently,653,extra large,4,0,29,4,No,2391,1,0,1,0,0,0,0,1,1,16
normal,male,vegetarian,daily,electricity,public,,sometimes,148,rarely,1773,medium,6,5,47,8,Sometimes,1731,0,0,1,0,1,1,1,0,1,12
obese,male,pescatarian,daily,wood,public,,never,268,frequently,1958,extra large,5,6,16,5,Yes,2851,1,0,0,1,1,1,1,1,0,20
overweight,female,vegetarian,more frequently,electricity,private,lpg,often,85,never,4717,large,3,13,4,18,No,2412,0,0,0,0,1,1,0,1,1,9
underweight,male,vegetarian,less frequently,electricity,walk/bicycle,,often,264,rarely,18,small,5,9,7,6,No,880,1,1,0,0,1,1,1,0,0,5
normal,male,vegan,more frequently,wood,private,electric,sometimes,136,very frequently,1187,small,6,20,18,9,Sometimes,2358,1,0,0,1,0,0,0,1,0,6
normal,female,vegetarian,more frequently,electricity,walk/bicycle,,never,297,very frequently,19,large,3,9,40,9,No,2125,0,1,0,1,0,0,1,0,0,9
underweight,male,pescatarian,more frequently,natural gas,private,electric,sometimes,128,frequently,7195,extra large,3,17,23,8,No,1899,1,1,1,1,1,1,1,0,1,12
normal,male,omnivore,daily,natural gas,private,electric,often,75,never,5476,large,4,6,37,22,Sometimes,1541,1,1,0,1,1,1,0,0,0,12
obese,male,omnivore,daily,electricity,public,,never,141,never,1591,small,4,6,35,8,Sometimes,1526,0,1,0,0,1,1,1,1,0,4
overweight,female,vegetarian,less frequently,electricity,walk/bicycle,,never,163,never,66,extra large,2,19,19,2,Sometimes,690,1,0,1,1,0,0,1,1,1,8
obese,female,omnivore,twice a day,coal,walk/bicycle,,often,147,rarely,83,extra large,3,8,10,13,No,2130,1,0,0,0,0,0,0,1,1,12
obese,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,84,frequently,72,extra large,4,3,3,3,No,2224,0,1,0,0,1,1,0,0,0,16
normal,female,vegetarian,less frequently,electricity,walk/bicycle,,never,82,very frequently,16,medium,3,12,9,17,Sometimes,1814,1,0,0,0,1,1,0,1,0,6
underweight,female,pescatarian,daily,wood,public,,sometimes,276,never,481,small,7,20,24,17,Sometimes,1101,0,1,1,1,1,1,0,0,0,7
overweight,male,vegetarian,twice a day,electricity,private,diesel,sometimes,123,frequently,578,small,5,5,2,16,No,1384,1,1,1,0,0,0,0,0,1,5
overweight,male,omnivore,more frequently,wood,public,,sometimes,79,frequently,946,small,6,17,35,17,Yes,2005,1,1,1,1,1,1,0,1,1,6
